iterations,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
52,15.797397136688232,0.9995375,0.9804878048780488,0.8589743589743589,0.9999498533209639,0.997340029415099,0.9157175398633257,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9832355865264464,0.864406779661017
53,16.108684301376343,0.9995375,0.9804878048780488,0.8589743589743589,0.9999498533209639,0.9975234183919588,0.9157175398633257,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9834339684595529,0.864406779661017
54,16.425960779190063,0.99955,0.9852941176470589,0.8589743589743589,0.9999623899907228,0.9975584032011583,0.9178082191780822,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9842366172003977,0.864406779661017
55,16.751206874847412,0.99955,0.9852941176470589,0.8589743589743589,0.9999623899907228,0.9975740472506012,0.9178082191780822,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9844585617385858,0.864406779661017
56,17.06623935699463,0.9995625,0.9853658536585366,0.8632478632478633,0.9999623899907228,0.9975794048017802,0.9202733485193622,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9845474915706681,0.864406779661017
57,17.395743370056152,0.9995625,0.9853658536585366,0.8632478632478633,0.9999623899907228,0.9976056568025577,0.9202733485193622,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9844327188813995,0.864406779661017
58,17.734344959259033,0.9995625,0.9853658536585366,0.8632478632478633,0.9999623899907228,0.9975954774553175,0.9202733485193622,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9847519541760537,0.864406779661017
59,18.081035137176514,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9976197471621587,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9849883403109047,0.864406779661017
60,18.398635149002075,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9977942426040614,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9843042646795028,0.864406779661017
61,18.71177101135254,0.999575,0.9901960784313726,0.8632478632478633,0.9999749266604819,0.9977952605387853,0.9223744292237442,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9844616020747254,0.864406779661017
