epoch,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,val_accuracy,val_precision,val_recall,val_specificity,val_auc,val_f1
62,8638.898784,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
63,8777.853541,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
64,8916.808298,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
65,9055.763056,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
66,9194.717813,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
67,9333.672571,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
68,9472.627328,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
69,9611.582085,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
70,9750.536843,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
71,9889.4916,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
72,10028.44636,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
73,10167.40112,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
74,10306.35587,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
75,10445.31063,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
76,10584.26539,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
77,10723.22014,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
78,10862.1749,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
79,11001.12966,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
80,11140.08442,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
81,11279.03917,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
82,11417.99393,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
83,11556.94869,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
84,11695.90345,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
85,11834.8582,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
86,11973.81296,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
87,12112.76772,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
88,12251.72248,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
89,12390.67723,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
90,12529.63199,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
91,12668.58675,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
92,12807.54151,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
93,12946.49626,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
94,13085.45102,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
95,13224.40578,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
96,13363.36054,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
97,13502.31529,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
98,13641.27005,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
99,13780.22481,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
100,13919.17957,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
