iteration,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
87,19.97338486,0.9991125,1,0.704166667,1,0.999547758,0.826405868,0.9988,0.973684211,0.616666667,0.99994985,0.996166834,0.755102041
88,20.24326205,0.9991125,1,0.704166667,1,0.99954431,0.826405868,0.99885,0.974358974,0.633333333,0.99994985,0.996122534,0.767676768
89,20.5226202,0.9991375,1,0.7125,1,0.999553713,0.832116788,0.99885,0.974358974,0.633333333,0.99994985,0.996069876,0.767676768
90,20.80498314,0.99915,1,0.716666667,1,0.9995464,0.834951456,0.99885,0.974358974,0.633333333,0.99994985,0.996051488,0.767676768
91,21.09041691,0.9991625,1,0.720833333,1,0.999541332,0.837772397,0.99885,0.974358974,0.633333333,0.99994985,0.99603895,0.767676768
92,21.36926532,0.9991875,1,0.729166667,1,0.999536056,0.843373494,0.99885,0.974358974,0.633333333,0.99994985,0.996000502,0.767676768
93,21.6821034,0.9992,1,0.733333333,1,0.99953569,0.846153846,0.99885,0.974358974,0.633333333,0.99994985,0.995972083,0.767676768
94,21.96253419,0.9992,1,0.733333333,1,0.999530989,0.846153846,0.99885,0.974358974,0.633333333,0.99994985,0.995952859,0.767676768
95,22.24138403,0.9992,1,0.733333333,1,0.999527332,0.846153846,0.99885,0.974358974,0.633333333,0.99994985,0.995941157,0.767676768
96,22.52725816,0.9992125,1,0.7375,1,0.999522892,0.848920863,0.99885,0.974358974,0.633333333,0.99994985,0.995906887,0.767676768
97,22.81111097,0.999225,1,0.741666667,1,0.999516884,0.851674641,0.99885,0.974358974,0.633333333,0.99994985,0.99587429,0.767676768
98,23.12663436,0.9992375,1,0.745833333,1,0.999508682,0.854415274,0.99895,0.975609756,0.666666667,0.99994985,0.995826647,0.792079208
99,23.41076231,0.9992375,1,0.745833333,1,0.999516832,0.854415274,0.99895,0.975609756,0.666666667,0.99994985,0.995738883,0.792079208
100,23.71458793,0.9992375,1,0.745833333,1,0.999514847,0.854415274,0.99895,0.975609756,0.666666667,0.99994985,0.995697091,0.792079208
