epoch,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1
64,821.3127358,0.9995625,0.99925,0.95154185,0.909090909,0.9,0.833333333,0.999862086,0.999749248,0.951278837,0.957469492,0.925053533,0.869565217
65,830.8126838,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.952648153,0.973449515,0.925053533,0.859649123
66,842.2070961,0.9995125,0.9991,0.950672646,0.903846154,0.883333333,0.783333333,0.999862086,0.999749248,0.951588725,0.957703945,0.915766739,0.839285714
67,855.7849579,0.99955,0.99895,0.951327434,0.897959184,0.895833333,0.733333333,0.999862086,0.999749248,0.949755151,0.95791207,0.922746781,0.80733945
68,869.1718235,0.9995625,0.9993,0.95154185,0.910714286,0.9,0.85,0.999862086,0.999749248,0.95119857,0.96565321,0.925053533,0.879310345
69,883.0269148,0.9995125,0.99885,0.950672646,0.893617021,0.883333333,0.7,0.999862086,0.999749248,0.949757136,0.957889084,0.915766739,0.785046729
70,896.1837947,0.9995375,0.9993,0.951111111,0.910714286,0.891666667,0.85,0.999862086,0.999749248,0.952942499,0.973856988,0.920430108,0.879310345
71,912.6747553,0.99955,0.9992,0.951327434,0.907407407,0.895833333,0.816666667,0.999862086,0.999749248,0.965953538,0.993061685,0.922746781,0.859649123
72,928.125257,0.9995625,0.9991,0.95154185,0.903846154,0.9,0.783333333,0.999862086,0.999749248,0.95259748,0.981743146,0.925053533,0.839285714
73,942.5191524,0.9995375,0.99925,0.951111111,0.909090909,0.891666667,0.833333333,0.999862086,0.999749248,0.949756405,0.966295135,0.920430108,0.869565217
74,956.2574096,0.9995375,0.9993,0.951111111,0.910714286,0.891666667,0.85,0.999862086,0.999749248,0.949622931,0.966201521,0.920430108,0.879310345
75,969.7581339,0.9995125,0.99905,0.950672646,0.901960784,0.883333333,0.766666667,0.999862086,0.999749248,0.949746819,0.957901622,0.915766739,0.828828829
76,984.5765226,0.99955,0.9992,0.947368421,0.879310345,0.9,0.85,0.999849549,0.999648947,0.966231481,0.993517636,0.923076923,0.86440678
77,999.5931146,0.999525,0.9993,0.950892857,0.910714286,0.8875,0.85,0.999862086,0.999749248,0.961995622,0.993529338,0.918103448,0.879310345
78,1012.649399,0.99955,0.9993,0.951327434,0.910714286,0.895833333,0.85,0.999862086,0.999749248,0.954519705,0.981911568,0.922746781,0.879310345
79,1025.045654,0.99955,0.9992,0.951327434,0.907407407,0.895833333,0.816666667,0.999862086,0.999749248,0.950705685,0.97371991,0.922746781,0.859649123
80,1036.01892,0.9995375,0.999,0.951111111,0.9,0.891666667,0.75,0.999862086,0.999749248,0.950958553,0.973643848,0.920430108,0.818181818
81,1045.817616,0.9995625,0.99925,0.95154185,0.909090909,0.9,0.833333333,0.999862086,0.999749248,0.950553771,0.973452023,0.925053533,0.869565217
82,1055.468009,0.9995625,0.99925,0.95154185,0.909090909,0.9,0.833333333,0.999862086,0.999749248,0.951140218,0.965674106,0.925053533,0.869565217
83,1065.242206,0.9995625,0.99915,0.95154185,0.890909091,0.9,0.816666667,0.999862086,0.999699097,0.950587283,0.973440321,0.925053533,0.852173913
84,1075.031487,0.9995625,0.9991,0.95154185,0.903846154,0.9,0.783333333,0.999862086,0.999749248,0.954516623,0.965217319,0.925053533,0.839285714
85,1084.70445,0.9995625,0.99895,0.95154185,0.897959184,0.9,0.733333333,0.999862086,0.999749248,0.949786913,0.957951772,0.925053533,0.80733945
86,1094.462914,0.9995625,0.99895,0.95154185,0.897959184,0.9,0.733333333,0.999862086,0.999749248,0.964359302,0.991334838,0.925053533,0.80733945
87,1104.067795,0.9995625,0.99915,0.95154185,0.905660377,0.9,0.8,0.999862086,0.999749248,0.951687197,0.957777917,0.925053533,0.849557522
88,1113.663649,0.9995625,0.99925,0.95154185,0.909090909,0.9,0.833333333,0.999862086,0.999749248,0.951196088,0.965721331,0.925053533,0.869565217
89,1123.430194,0.9995125,0.9991,0.950672646,0.903846154,0.883333333,0.783333333,0.999862086,0.999749248,0.949919655,0.94979898,0.915766739,0.839285714
90,1133.099403,0.9995625,0.99925,0.95154185,0.909090909,0.9,0.833333333,0.999862086,0.999749248,0.951317912,0.965816617,0.925053533,0.869565217
91,1142.737505,0.9994875,0.9991,0.950226244,0.903846154,0.875,0.783333333,0.999862086,0.999749248,0.951611841,0.957660064,0.911062907,0.839285714
92,1152.49581,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.949657253,0.966137997,0.925053533,0.859649123
93,1162.030983,0.9995625,0.99915,0.95154185,0.905660377,0.9,0.8,0.999862086,0.999749248,0.951249295,0.965784019,0.925053533,0.849557522
94,1171.631019,0.9995625,0.999,0.95154185,0.9,0.9,0.75,0.999862086,0.999749248,0.949845866,0.958024908,0.925053533,0.818181818
95,1181.395331,0.99955,0.9989,0.951327434,0.895833333,0.895833333,0.716666667,0.999862086,0.999749248,0.949799294,0.957976011,0.922746781,0.796296296
96,1191.183648,0.9994625,0.9988,0.949771689,0.909090909,0.866666667,0.666666667,0.999862086,0.999799398,0.949806346,0.958001505,0.906318083,0.769230769
97,1200.90023,0.9995375,0.9992,0.947136564,0.907407407,0.895833333,0.816666667,0.999849549,0.999749248,0.950986762,0.973757105,0.920770878,0.859649123
98,1210.752899,0.9994125,0.99905,0.948837209,0.918367347,0.85,0.75,0.999862086,0.999799398,0.963952691,0.991511618,0.896703297,0.825688073
99,1220.375803,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.951096049,0.973871197,0.925053533,0.859649123
100,1230.035811,0.999475,0.99925,0.95,0.909090909,0.870833333,0.833333333,0.999862086,0.999749248,0.951569448,0.966064861,0.908695652,0.869565217
